occupation,hierarchy_level,mechanism_of_death,deaths,population
Bus and truck mechanics and diesel engine specialists,3,Poisoning,0,285
Bus and truck mechanics and diesel engine specialists,2,Struck by or against,17,285
Bus and truck mechanics and diesel engine specialists,3,Struck by or against,17,285
Heavy vehicle and mobile equipment service technicians and mechanics,2,Total,27,221
Heavy vehicle and mobile equipment service technicians and mechanics,2,Cut/Pierce,0,221
Heavy vehicle and mobile equipment service technicians and mechanics,2,Motor Vehicle Traffic,12,221
Heavy vehicle and mobile equipment service technicians and mechanics,2,Fire/Flame,0,221
Heavy vehicle and mobile equipment service technicians and mechanics,2,Fall,0,221
Heavy vehicle and mobile equipment service technicians and mechanics,2,Poisoning,1,221
Heavy vehicle and mobile equipment service technicians and mechanics,2,Struck by or against,12,221
Farm equipment mechanics and service technicians,3,Total,9,45
Farm equipment mechanics and service technicians,3,Cut/Pierce,0,45
Farm equipment mechanics and service technicians,3,Motor Vehicle Traffic,6,45
Farm equipment mechanics and service technicians,3,Fire/Flame,0,45
Farm equipment mechanics and service technicians,3,Fall,0,45
Farm equipment mechanics and service technicians,3,Poisoning,0,45
Farm equipment mechanics and service technicians,3,Struck by or against,0,45
"Mobile heavy equipment mechanics, except engines",3,Total,16,150
"Mobile heavy equipment mechanics, except engines",3,Cut/Pierce,0,150
"Mobile heavy equipment mechanics, except engines",3,Motor Vehicle Traffic,5,150
"Mobile heavy equipment mechanics, except engines",3,Fire/Flame,0,150
"Mobile heavy equipment mechanics, except engines",3,Fall,0,150
"Mobile heavy equipment mechanics, except engines",3,Poisoning,1,150
"Mobile heavy equipment mechanics, except engines",3,Struck by or against,9,150
Small engine mechanics,2,Total,8,76
Small engine mechanics,2,Cut/Pierce,3,76
Small engine mechanics,2,Motor Vehicle Traffic,3,76
Small engine mechanics,2,Fire/Flame,0,76
Small engine mechanics,2,Fall,0,76
Small engine mechanics,2,Poisoning,0,76
Small engine mechanics,2,Struck by or against,0,76
Motorcycle mechanics,3,Total,4,17
Motorcycle mechanics,3,Cut/Pierce,3,17
Motorcycle mechanics,3,Motor Vehicle Traffic,0,17
Motorcycle mechanics,3,Fire/Flame,0,17
Motorcycle mechanics,3,Fall,0,17
Motorcycle mechanics,3,Poisoning,0,17
Motorcycle mechanics,3,Struck by or against,0,17
Outdoor power equipment and other small engine mechanics,3,Total,3,35
Outdoor power equipment and other small engine mechanics,3,Cut/Pierce,0,35
Outdoor power equipment and other small engine mechanics,3,Motor Vehicle Traffic,0,35
Outdoor power equipment and other small engine mechanics,3,Fire/Flame,0,35
Outdoor power equipment and other small engine mechanics,3,Fall,0,35
Outdoor power equipment and other small engine mechanics,3,Poisoning,0,35
Outdoor power equipment and other small engine mechanics,3,Struck by or against,0,35
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",2,Total,9,143
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",2,Cut/Pierce,0,143
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",2,Motor Vehicle Traffic,0,143
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",2,Fire/Flame,0,143
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",2,Fall,0,143
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",2,Poisoning,0,143
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",2,Struck by or against,0,143
Tire repairers and changers,3,Total,9,115
Tire repairers and changers,3,Cut/Pierce,0,115
Tire repairers and changers,3,Motor Vehicle Traffic,0,115
Tire repairers and changers,3,Fire/Flame,0,115
Tire repairers and changers,3,Fall,0,115
Tire repairers and changers,3,Poisoning,0,115
Tire repairers and changers,3,Struck by or against,0,115
"Other installation, maintenance, and repair occupations",1,Total,194,"3,198"
"Other installation, maintenance, and repair occupations",1,Cut/Pierce,15,"3,198"
"Other installation, maintenance, and repair occupations",1,Motor Vehicle Traffic,50,"3,198"
"Other installation, maintenance, and repair occupations",1,Fire/Flame,6,"3,198"
"Other installation, maintenance, and repair occupations",1,Fall,35,"3,198"
"Other installation, maintenance, and repair occupations",1,Poisoning,44,"3,198"
"Other installation, maintenance, and repair occupations",1,Struck by or against,44,"3,198"
"Heating, air conditioning, and refrigeration mechanics and installers",2,Total,40,368
"Heating, air conditioning, and refrigeration mechanics and installers",3,Total,40,368
"Heating, air conditioning, and refrigeration mechanics and installers",2,Cut/Pierce,1,368
"Heating, air conditioning, and refrigeration mechanics and installers",3,Cut/Pierce,1,368
"Heating, air conditioning, and refrigeration mechanics and installers",2,Motor Vehicle Traffic,11,368
"Heating, air conditioning, and refrigeration mechanics and installers",3,Motor Vehicle Traffic,11,368
"Heating, air conditioning, and refrigeration mechanics and installers",2,Fire/Flame,0,368
"Heating, air conditioning, and refrigeration mechanics and installers",3,Fire/Flame,0,368
"Heating, air conditioning, and refrigeration mechanics and installers",2,Fall,15,368
"Heating, air conditioning, and refrigeration mechanics and installers",3,Fall,15,368
"Heating, air conditioning, and refrigeration mechanics and installers",2,Poisoning,9,368
"Heating, air conditioning, and refrigeration mechanics and installers",3,Poisoning,9,368
"Heating, air conditioning, and refrigeration mechanics and installers",2,Struck by or against,4,368
"Heating, air conditioning, and refrigeration mechanics and installers",3,Struck by or against,4,368
"Industrial machinery installation, repair, and maintenance workers",2,Total,27,508
"Industrial machinery installation, repair, and maintenance workers",2,Cut/Pierce,0,508
"Industrial machinery installation, repair, and maintenance workers",2,Motor Vehicle Traffic,7,508
"Industrial machinery installation, repair, and maintenance workers",2,Fire/Flame,0,508
"Industrial machinery installation, repair, and maintenance workers",2,Fall,3,508
"Industrial machinery installation, repair, and maintenance workers",2,Poisoning,4,508
"Industrial machinery installation, repair, and maintenance workers",2,Struck by or against,13,508
Industrial machinery mechanics,3,Total,14,382
Industrial machinery mechanics,3,Cut/Pierce,0,382
Industrial machinery mechanics,3,Motor Vehicle Traffic,4,382
Industrial machinery mechanics,3,Fire/Flame,0,382
Industrial machinery mechanics,3,Fall,0,382
Industrial machinery mechanics,3,Poisoning,0,382
Industrial machinery mechanics,3,Struck by or against,8,382
"Maintenance workers, machinery",3,Total,10,81
"Maintenance workers, machinery",3,Cut/Pierce,0,81
"Maintenance workers, machinery",3,Motor Vehicle Traffic,3,81
"Maintenance workers, machinery",3,Fire/Flame,0,81
"Maintenance workers, machinery",3,Fall,0,81
"Maintenance workers, machinery",3,Poisoning,0,81
"Maintenance workers, machinery",3,Struck by or against,3,81
Millwrights,3,Total,3,44
Millwrights,3,Cut/Pierce,0,44
Millwrights,3,Motor Vehicle Traffic,0,44
Millwrights,3,Fire/Flame,0,44
Millwrights,3,Fall,0,44
Millwrights,3,Poisoning,0,44
Millwrights,3,Struck by or against,0,44
Line installers and repairers,2,Total,39,242
Line installers and repairers,2,Cut/Pierce,0,242
Line installers and repairers,2,Motor Vehicle Traffic,16,242
Line installers and repairers,2,Fire/Flame,0,242
Line installers and repairers,2,Fall,0,242
Line installers and repairers,2,Poisoning,16,242
Line installers and repairers,2,Struck by or against,0,242
Electrical power-line installers and repairers,3,Total,29,119
Electrical power-line installers and repairers,3,Cut/Pierce,0,119
Electrical power-line installers and repairers,3,Motor Vehicle Traffic,11,119
Electrical power-line installers and repairers,3,Fire/Flame,0,119
Electrical power-line installers and repairers,3,Fall,0,119
Electrical power-line installers and repairers,3,Poisoning,14,119
Electrical power-line installers and repairers,3,Struck by or against,0,119
Telecommunications line installers and repairers,3,Total,10,123
Telecommunications line installers and repairers,3,Cut/Pierce,0,123
Telecommunications line installers and repairers,3,Motor Vehicle Traffic,5,123
Telecommunications line installers and repairers,3,Fire/Flame,0,123
Telecommunications line installers and repairers,3,Fall,0,123
Telecommunications line installers and repairers,3,Poisoning,0,123
Telecommunications line installers and repairers,3,Struck by or against,0,123
"Maintenance and repair workers, general",2,Total,64,"1,488"
"Maintenance and repair workers, general",3,Total,64,"1,488"
"Maintenance and repair workers, general",2,Cut/Pierce,10,"1,488"
"Maintenance and repair workers, general",3,Cut/Pierce,10,"1,488"
"Maintenance and repair workers, general",2,Motor Vehicle Traffic,12,"1,488"
"Maintenance and repair workers, general",3,Motor Vehicle Traffic,12,"1,488"
"Maintenance and repair workers, general",2,Fire/Flame,3,"1,488"
"Maintenance and repair workers, general",3,Fire/Flame,3,"1,488"
"Maintenance and repair workers, general",2,Fall,11,"1,488"
"Maintenance and repair workers, general",3,Fall,11,"1,488"
"Maintenance and repair workers, general",2,Poisoning,10,"1,488"
"Maintenance and repair workers, general",3,Poisoning,10,"1,488"
"Maintenance and repair workers, general",2,Struck by or against,18,"1,488"
"Maintenance and repair workers, general",3,Struck by or against,18,"1,488"
"Miscellaneous installation, maintenance, and repair workers",2,Total,20,386
"Miscellaneous installation, maintenance, and repair workers",2,Cut/Pierce,1,386
"Miscellaneous installation, maintenance, and repair workers",2,Motor Vehicle Traffic,3,386
"Miscellaneous installation, maintenance, and repair workers",2,Fire/Flame,0,386
"Miscellaneous installation, maintenance, and repair workers",2,Fall,4,386
"Miscellaneous installation, maintenance, and repair workers",2,Poisoning,4,386
"Miscellaneous installation, maintenance, and repair workers",2,Struck by or against,7,386
Riggers,3,Total,3,22
Riggers,3,Cut/Pierce,0,22
Riggers,3,Motor Vehicle Traffic,0,22
Riggers,3,Fire/Flame,0,22
Riggers,3,Fall,0,22
Riggers,3,Poisoning,0,22
Riggers,3,Struck by or against,3,22
"Helpers--installation, maintenance, and repair workers",3,Total,3,107
"Helpers--installation, maintenance, and repair workers",3,Cut/Pierce,1,107
"Helpers--installation, maintenance, and repair workers",3,Motor Vehicle Traffic,0,107
"Helpers--installation, maintenance, and repair workers",3,Fire/Flame,0,107
"Helpers--installation, maintenance, and repair workers",3,Fall,0,107
"Helpers--installation, maintenance, and repair workers",3,Poisoning,0,107
"Helpers--installation, maintenance, and repair workers",3,Struck by or against,0,107
Production occupations,0,Total,225,"9,452"
Production occupations,0,Cut/Pierce,29,"9,452"
Production occupations,0,Motor Vehicle Traffic,34,"9,452"
Production occupations,0,Fire/Flame,18,"9,452"
Production occupations,0,Fall,39,"9,452"
Production occupations,0,Poisoning,40,"9,452"
Production occupations,0,Struck by or against,63,"9,452"
Supervisors of production workers,1,Total,26,640
Supervisors of production workers,1,Cut/Pierce,5,640
Supervisors of production workers,1,Motor Vehicle Traffic,4,640
Supervisors of production workers,1,Fire/Flame,0,640
Supervisors of production workers,1,Fall,5,640
Supervisors of production workers,1,Poisoning,0,640
Supervisors of production workers,1,Struck by or against,8,640
First-line supervisors of production and operating workers,2,Total,26,640
First-line supervisors of production and operating workers,3,Total,26,640
First-line supervisors of production and operating workers,2,Cut/Pierce,5,640
First-line supervisors of production and operating workers,3,Cut/Pierce,5,640
First-line supervisors of production and operating workers,2,Motor Vehicle Traffic,4,640
First-line supervisors of production and operating workers,3,Motor Vehicle Traffic,4,640
First-line supervisors of production and operating workers,2,Fire/Flame,0,640
First-line supervisors of production and operating workers,3,Fire/Flame,0,640
First-line supervisors of production and operating workers,2,Fall,5,640
First-line supervisors of production and operating workers,3,Fall,5,640
First-line supervisors of production and operating workers,2,Poisoning,0,640
First-line supervisors of production and operating workers,3,Poisoning,0,640
First-line supervisors of production and operating workers,2,Struck by or against,8,640
First-line supervisors of production and operating workers,3,Struck by or against,8,640
Assemblers and fabricators,1,Total,15,"1,868"
Assemblers and fabricators,1,Cut/Pierce,3,"1,868"
Assemblers and fabricators,1,Motor Vehicle Traffic,3,"1,868"
Assemblers and fabricators,1,Fire/Flame,0,"1,868"
Assemblers and fabricators,1,Fall,3,"1,868"
Assemblers and fabricators,1,Poisoning,4,"1,868"
Assemblers and fabricators,1,Struck by or against,0,"1,868"
"Electrical, electronics, and electromechanical assemblers",2,Total,3,292
"Electrical, electronics, and electromechanical assemblers",2,Cut/Pierce,0,292
"Electrical, electronics, and electromechanical assemblers",2,Motor Vehicle Traffic,0,292
"Electrical, electronics, and electromechanical assemblers",2,Fire/Flame,0,292
"Electrical, electronics, and electromechanical assemblers",2,Fall,0,292
"Electrical, electronics, and electromechanical assemblers",2,Poisoning,0,292
"Electrical, electronics, and electromechanical assemblers",2,Struck by or against,0,292
Miscellaneous assemblers and fabricators,2,Total,10,"1,402"
Miscellaneous assemblers and fabricators,2,Cut/Pierce,0,"1,402"
Miscellaneous assemblers and fabricators,2,Motor Vehicle Traffic,0,"1,402"
Miscellaneous assemblers and fabricators,2,Fire/Flame,0,"1,402"
Miscellaneous assemblers and fabricators,2,Fall,0,"1,402"
Miscellaneous assemblers and fabricators,2,Poisoning,0,"1,402"
Miscellaneous assemblers and fabricators,2,Struck by or against,0,"1,402"
Food processing workers,1,Total,10,838
Food processing workers,1,Cut/Pierce,3,838
Food processing workers,1,Motor Vehicle Traffic,0,838
Food processing workers,1,Fire/Flame,0,838
Food processing workers,1,Fall,0,838
Food processing workers,1,Poisoning,0,838
Food processing workers,1,Struck by or against,0,838
Bakers,2,Total,4,192
Bakers,3,Total,4,192
Bakers,2,Cut/Pierce,1,192
Bakers,3,Cut/Pierce,1,192
Bakers,2,Motor Vehicle Traffic,0,192
Bakers,3,Motor Vehicle Traffic,0,192
Bakers,2,Fire/Flame,0,192
Bakers,3,Fire/Flame,0,192
Bakers,2,Fall,0,192
Bakers,3,Fall,0,192
Bakers,2,Poisoning,0,192
Bakers,3,Poisoning,0,192
Bakers,2,Struck by or against,0,192
Bakers,3,Struck by or against,0,192
"Butchers and other meat, poultry, and fish processing workers",2,Total,3,378
"Butchers and other meat, poultry, and fish processing workers",2,Cut/Pierce,0,378
"Butchers and other meat, poultry, and fish processing workers",2,Motor Vehicle Traffic,0,378
"Butchers and other meat, poultry, and fish processing workers",2,Fire/Flame,0,378
"Butchers and other meat, poultry, and fish processing workers",2,Fall,0,378
"Butchers and other meat, poultry, and fish processing workers",2,Poisoning,0,378
"Butchers and other meat, poultry, and fish processing workers",2,Struck by or against,0,378
Miscellaneous food processing workers,2,Total,3,269
Miscellaneous food processing workers,2,Cut/Pierce,0,269
Miscellaneous food processing workers,2,Motor Vehicle Traffic,0,269
Miscellaneous food processing workers,2,Fire/Flame,0,269
Miscellaneous food processing workers,2,Fall,0,269
Miscellaneous food processing workers,2,Poisoning,0,269
Miscellaneous food processing workers,2,Struck by or against,0,269
Metal workers and plastic workers,1,Total,80,"2,011"
Metal workers and plastic workers,1,Cut/Pierce,8,"2,011"
Metal workers and plastic workers,1,Motor Vehicle Traffic,10,"2,011"
Metal workers and plastic workers,1,Fire/Flame,8,"2,011"
Metal workers and plastic workers,1,Fall,13,"2,011"
Metal workers and plastic workers,1,Poisoning,15,"2,011"
Metal workers and plastic workers,1,Struck by or against,26,"2,011"
Computer control programmers and operators,2,Total,1,176
Computer control programmers and operators,2,Cut/Pierce,0,176
Computer control programmers and operators,2,Motor Vehicle Traffic,0,176
Computer control programmers and operators,2,Fire/Flame,0,176
Computer control programmers and operators,2,Fall,0,176
Computer control programmers and operators,2,Poisoning,0,176
Computer control programmers and operators,2,Struck by or against,1,176
"Computer-controlled machine tool operators, metal and plastic",3,Total,1,152
"Computer-controlled machine tool operators, metal and plastic",3,Cut/Pierce,0,152
"Computer-controlled machine tool operators, metal and plastic",3,Motor Vehicle Traffic,0,152
"Computer-controlled machine tool operators, metal and plastic",3,Fire/Flame,0,152
"Computer-controlled machine tool operators, metal and plastic",3,Fall,0,152
"Computer-controlled machine tool operators, metal and plastic",3,Poisoning,0,152
"Computer-controlled machine tool operators, metal and plastic",3,Struck by or against,1,152
"Forming machine setters, operators, and tenders, metal and plastic",2,Total,0,122
"Forming machine setters, operators, and tenders, metal and plastic",2,Cut/Pierce,0,122
"Forming machine setters, operators, and tenders, metal and plastic",2,Motor Vehicle Traffic,0,122
"Forming machine setters, operators, and tenders, metal and plastic",2,Fire/Flame,0,122
"Forming machine setters, operators, and tenders, metal and plastic",2,Fall,0,122
"Forming machine setters, operators, and tenders, metal and plastic",2,Poisoning,0,122
"Forming machine setters, operators, and tenders, metal and plastic",2,Struck by or against,0,122
"Rolling machine setters, operators, and tenders, metal and plastic",3,Total,1,27
"Rolling machine setters, operators, and tenders, metal and plastic",3,Cut/Pierce,0,27
"Rolling machine setters, operators, and tenders, metal and plastic",3,Motor Vehicle Traffic,0,27
"Rolling machine setters, operators, and tenders, metal and plastic",3,Fire/Flame,0,27
"Rolling machine setters, operators, and tenders, metal and plastic",3,Fall,0,27
"Rolling machine setters, operators, and tenders, metal and plastic",3,Poisoning,0,27
"Rolling machine setters, operators, and tenders, metal and plastic",3,Struck by or against,0,27
"Machine tool cutting setters, operators, and tenders, metal and plastic",2,Total,7,326
"Machine tool cutting setters, operators, and tenders, metal and plastic",2,Cut/Pierce,1,326
"Machine tool cutting setters, operators, and tenders, metal and plastic",2,Motor Vehicle Traffic,1,326
"Machine tool cutting setters, operators, and tenders, metal and plastic",2,Fire/Flame,0,326
"Machine tool cutting setters, operators, and tenders, metal and plastic",2,Fall,1,326
"Machine tool cutting setters, operators, and tenders, metal and plastic",2,Poisoning,0,326
"Machine tool cutting setters, operators, and tenders, metal and plastic",2,Struck by or against,3,326
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",3,Total,4,189
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",3,Cut/Pierce,1,189
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",3,Motor Vehicle Traffic,0,189
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",3,Fire/Flame,0,189
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",3,Fall,1,189
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",3,Poisoning,0,189
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",3,Struck by or against,0,189
Machinists,2,Total,13,395
Machinists,3,Total,13,395
Machinists,2,Cut/Pierce,3,395
Machinists,3,Cut/Pierce,3,395
Machinists,2,Motor Vehicle Traffic,0,395
Machinists,3,Motor Vehicle Traffic,0,395
Machinists,2,Fire/Flame,0,395
Machinists,3,Fire/Flame,0,395
Machinists,2,Fall,0,395
Machinists,3,Fall,0,395
Machinists,2,Poisoning,5,395
Machinists,3,Poisoning,5,395
Machinists,2,Struck by or against,0,395
Machinists,3,Struck by or against,0,395
"Multiple machine tool setters, operators, and tenders, metal and plastic",2,Total,1,136
"Multiple machine tool setters, operators, and tenders, metal and plastic",3,Total,1,136
"Multiple machine tool setters, operators, and tenders, metal and plastic",2,Cut/Pierce,0,136
"Multiple machine tool setters, operators, and tenders, metal and plastic",3,Cut/Pierce,0,136
"Multiple machine tool setters, operators, and tenders, metal and plastic",2,Motor Vehicle Traffic,0,136
"Multiple machine tool setters, operators, and tenders, metal and plastic",3,Motor Vehicle Traffic,0,136
"Multiple machine tool setters, operators, and tenders, metal and plastic",2,Fire/Flame,0,136
"Multiple machine tool setters, operators, and tenders, metal and plastic",3,Fire/Flame,0,136
"Multiple machine tool setters, operators, and tenders, metal and plastic",2,Fall,0,136
"Multiple machine tool setters, operators, and tenders, metal and plastic",3,Fall,0,136
"Multiple machine tool setters, operators, and tenders, metal and plastic",2,Poisoning,0,136
"Multiple machine tool setters, operators, and tenders, metal and plastic",3,Poisoning,0,136
"Multiple machine tool setters, operators, and tenders, metal and plastic",2,Struck by or against,1,136
"Multiple machine tool setters, operators, and tenders, metal and plastic",3,Struck by or against,1,136
"Welding, soldering, and brazing workers",2,Total,42,462
"Welding, soldering, and brazing workers",2,Cut/Pierce,3,462
"Welding, soldering, and brazing workers",2,Motor Vehicle Traffic,7,462
"Welding, soldering, and brazing workers",2,Fire/Flame,7,462
"Welding, soldering, and brazing workers",2,Fall,8,462
"Welding, soldering, and brazing workers",2,Poisoning,6,462
"Welding, soldering, and brazing workers",2,Struck by or against,11,462
"Welders, cutters, solderers, and brazers",3,Total,41,425
"Welders, cutters, solderers, and brazers",3,Cut/Pierce,3,425
"Welders, cutters, solderers, and brazers",3,Motor Vehicle Traffic,7,425
"Welders, cutters, solderers, and brazers",3,Fire/Flame,7,425
"Welders, cutters, solderers, and brazers",3,Fall,8,425
"Welders, cutters, solderers, and brazers",3,Poisoning,6,425
"Welders, cutters, solderers, and brazers",3,Struck by or against,10,425
"Textile, apparel, and furnishings workers",1,Total,5,625
"Textile, apparel, and furnishings workers",1,Cut/Pierce,1,625
"Textile, apparel, and furnishings workers",1,Motor Vehicle Traffic,0,625
"Textile, apparel, and furnishings workers",1,Fire/Flame,0,625
"Textile, apparel, and furnishings workers",1,Fall,0,625
"Textile, apparel, and furnishings workers",1,Poisoning,1,625
"Textile, apparel, and furnishings workers",1,Struck by or against,1,625
Laundry and dry-cleaning workers,2,Total,4,219
Laundry and dry-cleaning workers,3,Total,4,219
Laundry and dry-cleaning workers,2,Cut/Pierce,1,219
Laundry and dry-cleaning workers,3,Cut/Pierce,1,219
Laundry and dry-cleaning workers,2,Motor Vehicle Traffic,0,219
Laundry and dry-cleaning workers,3,Motor Vehicle Traffic,0,219
Laundry and dry-cleaning workers,2,Fire/Flame,0,219
Laundry and dry-cleaning workers,3,Fire/Flame,0,219
Laundry and dry-cleaning workers,2,Fall,0,219
Laundry and dry-cleaning workers,3,Fall,0,219
Laundry and dry-cleaning workers,2,Poisoning,0,219
Laundry and dry-cleaning workers,3,Poisoning,0,219
Laundry and dry-cleaning workers,2,Struck by or against,1,219
Laundry and dry-cleaning workers,3,Struck by or against,1,219
"Miscellaneous textile, apparel, and furnishings workers",2,Total,1,78
"Miscellaneous textile, apparel, and furnishings workers",2,Cut/Pierce,0,78
"Miscellaneous textile, apparel, and furnishings workers",2,Motor Vehicle Traffic,0,78
"Miscellaneous textile, apparel, and furnishings workers",2,Fire/Flame,0,78
"Miscellaneous textile, apparel, and furnishings workers",2,Fall,0,78
"Miscellaneous textile, apparel, and furnishings workers",2,Poisoning,1,78
"Miscellaneous textile, apparel, and furnishings workers",2,Struck by or against,0,78
Woodworkers,1,Total,13,290
Woodworkers,1,Cut/Pierce,0,290
Woodworkers,1,Motor Vehicle Traffic,0,290
Woodworkers,1,Fire/Flame,0,290
Woodworkers,1,Fall,0,290
Woodworkers,1,Poisoning,4,290
Woodworkers,1,Struck by or against,4,290
Cabinetmakers and bench carpenters,2,Total,3,116
Cabinetmakers and bench carpenters,3,Total,3,116
Cabinetmakers and bench carpenters,2,Cut/Pierce,0,116
Cabinetmakers and bench carpenters,3,Cut/Pierce,0,116
Cabinetmakers and bench carpenters,2,Motor Vehicle Traffic,0,116
Cabinetmakers and bench carpenters,3,Motor Vehicle Traffic,0,116
Cabinetmakers and bench carpenters,2,Fire/Flame,0,116
Cabinetmakers and bench carpenters,3,Fire/Flame,0,116
Cabinetmakers and bench carpenters,2,Fall,0,116
Cabinetmakers and bench carpenters,3,Fall,0,116
Cabinetmakers and bench carpenters,2,Poisoning,0,116
Cabinetmakers and bench carpenters,3,Poisoning,0,116
Cabinetmakers and bench carpenters,2,Struck by or against,0,116
Cabinetmakers and bench carpenters,3,Struck by or against,0,116
"Woodworking machine setters, operators, and tenders",2,Total,8,135
"Woodworking machine setters, operators, and tenders",2,Cut/Pierce,0,135
"Woodworking machine setters, operators, and tenders",2,Motor Vehicle Traffic,0,135
"Woodworking machine setters, operators, and tenders",2,Fire/Flame,0,135
"Woodworking machine setters, operators, and tenders",2,Fall,0,135
"Woodworking machine setters, operators, and tenders",2,Poisoning,0,135
"Woodworking machine setters, operators, and tenders",2,Struck by or against,4,135
"Sawing machine setters, operators, and tenders, wood",3,Total,7,55
"Sawing machine setters, operators, and tenders, wood",3,Cut/Pierce,0,55
"Sawing machine setters, operators, and tenders, wood",3,Motor Vehicle Traffic,0,55
"Sawing machine setters, operators, and tenders, wood",3,Fire/Flame,0,55
"Sawing machine setters, operators, and tenders, wood",3,Fall,0,55
"Sawing machine setters, operators, and tenders, wood",3,Poisoning,0,55
"Sawing machine setters, operators, and tenders, wood",3,Struck by or against,3,55
Plant and system operators,1,Total,21,309
Plant and system operators,1,Cut/Pierce,0,309
Plant and system operators,1,Motor Vehicle Traffic,7,309
Plant and system operators,1,Fire/Flame,0,309
Plant and system operators,1,Fall,3,309
Plant and system operators,1,Poisoning,5,309
Plant and system operators,1,Struck by or against,3,309
"Power plant operators, distributors, and dispatchers",2,Total,3,53
"Power plant operators, distributors, and dispatchers",2,Cut/Pierce,0,53
"Power plant operators, distributors, and dispatchers",2,Motor Vehicle Traffic,0,53
"Power plant operators, distributors, and dispatchers",2,Fire/Flame,0,53
"Power plant operators, distributors, and dispatchers",2,Fall,0,53
"Power plant operators, distributors, and dispatchers",2,Poisoning,1,53
"Power plant operators, distributors, and dispatchers",2,Struck by or against,0,53
Power plant operators,3,Total,3,35
Power plant operators,3,Cut/Pierce,0,35
Power plant operators,3,Motor Vehicle Traffic,0,35
Power plant operators,3,Fire/Flame,0,35
Power plant operators,3,Fall,0,35
Power plant operators,3,Poisoning,1,35
Power plant operators,3,Struck by or against,0,35
Stationary engineers and boiler operators,2,Total,0,34
Stationary engineers and boiler operators,3,Total,0,34
Stationary engineers and boiler operators,2,Cut/Pierce,0,34
Stationary engineers and boiler operators,3,Cut/Pierce,0,34
Stationary engineers and boiler operators,2,Motor Vehicle Traffic,0,34
Stationary engineers and boiler operators,3,Motor Vehicle Traffic,0,34
Stationary engineers and boiler operators,2,Fire/Flame,0,34
Stationary engineers and boiler operators,3,Fire/Flame,0,34
Stationary engineers and boiler operators,2,Fall,0,34
Stationary engineers and boiler operators,3,Fall,0,34
Stationary engineers and boiler operators,2,Poisoning,1,34
Stationary engineers and boiler operators,3,Poisoning,1,34
Stationary engineers and boiler operators,2,Struck by or against,0,34
Stationary engineers and boiler operators,3,Struck by or against,0,34
Water and wastewater treatment plant and system operators,2,Total,7,127
Water and wastewater treatment plant and system operators,3,Total,7,127
Water and wastewater treatment plant and system operators,2,Cut/Pierce,0,127
Water and wastewater treatment plant and system operators,3,Cut/Pierce,0,127
Water and wastewater treatment plant and system operators,2,Motor Vehicle Traffic,0,127
Water and wastewater treatment plant and system operators,3,Motor Vehicle Traffic,0,127
Water and wastewater treatment plant and system operators,2,Fire/Flame,0,127
Water and wastewater treatment plant and system operators,3,Fire/Flame,0,127
Water and wastewater treatment plant and system operators,2,Fall,0,127
Water and wastewater treatment plant and system operators,3,Fall,0,127
Water and wastewater treatment plant and system operators,2,Poisoning,0,127
Water and wastewater treatment plant and system operators,3,Poisoning,0,127
Water and wastewater treatment plant and system operators,2,Struck by or against,0,127
Water and wastewater treatment plant and system operators,3,Struck by or against,0,127
Miscellaneous plant and system operators,2,Total,9,96
Miscellaneous plant and system operators,2,Cut/Pierce,0,96
Miscellaneous plant and system operators,2,Motor Vehicle Traffic,4,96
Miscellaneous plant and system operators,2,Fire/Flame,0,96
Miscellaneous plant and system operators,2,Fall,0,96
Miscellaneous plant and system operators,2,Poisoning,0,96
Miscellaneous plant and system operators,2,Struck by or against,0,96
"Petroleum pump system operators, refinery operators, and gaugers",3,Total,5,40
"Petroleum pump system operators, refinery operators, and gaugers",3,Cut/Pierce,0,40
"Petroleum pump system operators, refinery operators, and gaugers",3,Motor Vehicle Traffic,3,40
"Petroleum pump system operators, refinery operators, and gaugers",3,Fire/Flame,0,40
"Petroleum pump system operators, refinery operators, and gaugers",3,Fall,0,40
"Petroleum pump system operators, refinery operators, and gaugers",3,Poisoning,0,40
"Petroleum pump system operators, refinery operators, and gaugers",3,Struck by or against,0,40
Other production occupations,1,Total,54,"2,618"
Other production occupations,1,Cut/Pierce,5,"2,618"
Other production occupations,1,Motor Vehicle Traffic,6,"2,618"
Other production occupations,1,Fire/Flame,7,"2,618"
Other production occupations,1,Fall,9,"2,618"
Other production occupations,1,Poisoning,8,"2,618"
Other production occupations,1,Struck by or against,19,"2,618"
"Crushing, grinding, polishing, mixing, and blending workers",2,Total,3,194
